Data,Município,Índice
18 de fev. de 2020,Rio Preto da Eva,0.29
18 de fev. de 2020,São Gabriel da Cachoeira,0.26
18 de fev. de 2020,Tabatinga,0.26
18 de fev. de 2020,Tefé,0.3
19 de fev. de 2020,Autazes,0.31
19 de fev. de 2020,Boca do Acre,0.38
19 de fev. de 2020,Borba,0.27
19 de fev. de 2020,Careiro,0.29
19 de fev. de 2020,Careiro da Várzea,0.31
19 de fev. de 2020,Coari,0.32
19 de fev. de 2020,Humaitá,0.34
19 de fev. de 2020,Iranduba,0.32
19 de fev. de 2020,Itacoatiara,0.26
19 de fev. de 2020,Lábrea,0.33
19 de fev. de 2020,Manacapuru,0.31
19 de fev. de 2020,Manaus,0.32
19 de fev. de 2020,Manicoré,0.38
19 de fev. de 2020,Maués,0.24
19 de fev. de 2020,Parintins,0.27
19 de fev. de 2020,Presidente Figueiredo,0.28
19 de fev. de 2020,Rio Preto da Eva,0.29
19 de fev. de 2020,São Gabriel da Cachoeira,0.22
19 de fev. de 2020,Tabatinga,0.35
19 de fev. de 2020,Tefé,0.32
20 de fev. de 2020,Autazes,0.25
20 de fev. de 2020,Boca do Acre,0.3
20 de fev. de 2020,Borba,0.28
20 de fev. de 2020,Careiro,0.32
20 de fev. de 2020,Careiro da Várzea,0.21
20 de fev. de 2020,Coari,0.29
20 de fev. de 2020,Humaitá,0.3
20 de fev. de 2020,Iranduba,0.28
20 de fev. de 2020,Itacoatiara,0.22
20 de fev. de 2020,Lábrea,0.24
20 de fev. de 2020,Manacapuru,0.28
20 de fev. de 2020,Manaus,0.29
20 de fev. de 2020,Manicoré,0.25
20 de fev. de 2020,Maués,0.22
20 de fev. de 2020,Parintins,0.25
20 de fev. de 2020,Presidente Figueiredo,0.27
20 de fev. de 2020,Rio Preto da Eva,0.29
20 de fev. de 2020,São Gabriel da Cachoeira,0.27
20 de fev. de 2020,Tabatinga,0.29
20 de fev. de 2020,Tefé,0.26
21 de fev. de 2020,Autazes,0.24
21 de fev. de 2020,Boca do Acre,0.32
21 de fev. de 2020,Borba,0.28
21 de fev. de 2020,Careiro,0.26
21 de fev. de 2020,Careiro da Várzea,0.32
21 de fev. de 2020,Coari,0.28
21 de fev. de 2020,Humaitá,0.3
21 de fev. de 2020,Iranduba,0.28
21 de fev. de 2020,Itacoatiara,0.24
21 de fev. de 2020,Lábrea,0.24
21 de fev. de 2020,Manacapuru,0.25
21 de fev. de 2020,Manaus,0.28
21 de fev. de 2020,Manicoré,0.29
21 de fev. de 2020,Maués,0.21
21 de fev. de 2020,Parintins,0.23
21 de fev. de 2020,Presidente Figueiredo,0.26
21 de fev. de 2020,Rio Preto da Eva,0.23
21 de fev. de 2020,São Gabriel da Cachoeira,0.25
21 de fev. de 2020,Tabatinga,0.29
21 de fev. de 2020,Tefé,0.3
22 de fev. de 2020,Autazes,0.32
22 de fev. de 2020,Boca do Acre,0.4
22 de fev. de 2020,Borba,0.31
22 de fev. de 2020,Careiro,0.32
22 de fev. de 2020,Careiro da Várzea,0.43
22 de fev. de 2020,Coari,0.33
22 de fev. de 2020,Humaitá,0.34
22 de fev. de 2020,Iranduba,0.35
22 de fev. de 2020,Itacoatiara,0.27
22 de fev. de 2020,Lábrea,0.35
22 de fev. de 2020,Manacapuru,0.34
22 de fev. de 2020,Manaus,0.35
22 de fev. de 2020,Manicoré,0.28
22 de fev. de 2020,Maués,0.25
22 de fev. de 2020,Parintins,0.25
22 de fev. de 2020,Presidente Figueiredo,0.32
